"","SiteName","SampleName","SampleDate","NumberOfPools","ReachLength","pools_per_ft"
"718","08BEA3737","08BEA3737_21",2021-08-04 18:00:00,2,19,0.105263157894737
"719","08BEA3650","08BEA3650_21",2021-08-04 15:30:00,1,89,0.0112359550561798
"720","08CED5032","08CED5032_21",2021-07-13 20:45:00,0,30.1,0
"721","08CED5046","08CED5046_21",2021-07-12 20:45:00,0,15.7,0
"722","08SAM2855","08SAM2855_21",2021-07-19 18:45:00,0,16,0
"723","08ISS4730","08ISS4730_21",2021-07-26 17:00:00,1,37.5,0.0266666666666667
"724","07RAG043443","07RAG043443_21",2021-08-17 21:30:00,1,42.7,0.0234192037470726
"725","08EAS2540","08EAS2540_21",2021-07-21 19:45:00,0,15.3,0
"726","09LOW0325","09LOW0325_21",2021-10-04 22:15:00,1,21.3,0.0469483568075117
"727","08NOR1362","08NOR1362_21",2021-10-04 17:15:00,1,90,0.0111111111111111
"728","09BLA0768","09BLA0768_21",2021-10-07 17:15:00,1,19.3,0.0518134715025907
"729","08LIT2682","08LIT2682_21",2021-09-29 21:40:00,0,12.5,0
"730","09MID2426","09MID2426_21",2021-10-05 16:30:00,1,15.7,0.0636942675159236
"731","08ISS4735","08ISS4735_21",2021-07-26 20:30:00,1,31.5,0.0317460317460317
"732","08NOR2306","08NOR2306_21",2021-09-29 19:00:00,1,34.5,0.0289855072463768
"733","09COV1418","09COV1418_21",2021-10-05 19:15:00,0,9.6,0
"734","08NOR1750","08NOR1750_21",2021-09-29 16:20:00,1,46,0.0217391304347826
"735","09DEE2163","09DEE2163_21",2021-10-07 18:15:00,0,8.2,0
"736","09COV1165","09COV1165_21",2021-10-04 22:45:00,1,27.6,0.036231884057971
"737","09DEE2294","09DEE2294_21",2021-10-06 15:05:00,0,19.3,0
"738","09SOO1130","09SOO1130_21",2021-10-06 20:30:00,0,6,0
"739","09DEE2208","09DEE2208_21",2021-10-07 16:20:00,0,15.8,0
"740","09COV1756","09COV1756_21",2021-10-04 20:20:00,0,18.6,0
"741","09LOW0751","09LOW0751_21",2021-10-06 18:00:00,1,14.8,0.0675675675675676
"742","09SOO1209","09SOO1209_21",2021-10-07 14:30:00,0,11.8,0
"743","08BEA3312","08BEA3312_21",2021-07-19 21:00:00,0,30,0
"745","07LMS033235","07LMS033235_21",2021-08-05 16:00:00,2,69.3,0.0288600288600289
"746","08ISS4724","08ISS4724_21",2021-07-14 20:45:00,0,19.7,0
"749","08WES0622","08WES0622_21",2021-07-22 17:00:00,0,33.6,0
"750","08EAS2058","08EAS2058_21",2021-07-29 16:45:00,3,56,0.0535714285714286
"751","08WES0903","08WES0903_21",2021-08-04 17:30:00,1,37,0.027027027027027
"753","09MID1958","09MID1958_21",2021-08-05 16:45:00,0,35.2,0
"754","09MID1744","09MID1744_21",2021-08-05 20:15:00,0,43,0
"755","07STL184007","07STL184007_21",2021-08-12 17:30:00,1,47,0.0212765957446809
"756","08SAM0000","08SAM0000_21",2021-08-19 16:45:00,3,43,0.0697674418604651
"757","08WES0629","08WES0629_21",2021-08-19 21:00:00,0,41.5,0
"758","08ISS4573","08ISS4573_21",2021-08-26 17:00:00,0,40,0
"759","08LAK3699","08LAK3699_21",2021-08-26 20:00:00,1,42,0.0238095238095238
"760","08LIT2585","08LIT2585_21",2021-08-31 17:15:00,0,19,0
"761","08SAM2862","08SAM2862_21",2021-08-31 21:00:00,1,34,0.0294117647058824
