"","Subbasin","each","rkt.pval","rkt.Sen","rkt.tau","RKTtrend","samples","sum.taxon"
"100","Middle Green River Subbasin","Clinocerinae",0.779662685685158,0,-0.0190735694822888,"none",41,102.076636929252
"101","Mill Creek Subbasin","Clinocerinae",1,0,0,"none",0,0
"102","Miller Creek Subbasin","Clinocerinae",0.296269871484286,0,-0.0777777777777778,"none",1,3.75
"103","Newaukum Creek Subbasin","Clinocerinae",0.197956616950189,0,0.0721500721500721,"none",19,33.0095734126984
"104","North Creek Subbasin","Clinocerinae",0.154728923485378,0,0.0304878048780488,"none",1,0.9375
"105","Sammamish River Subbasin","Clinocerinae",0.522543114450331,0,0.0225442834138486,"none",6,3.4648199023199
"106","Soos Creek Subbasin","Clinocerinae",0.0956712519492815,0,-0.0674846625766871,"none",14,12.7351875336715
"107","Swamp Creek Subbasin","Clinocerinae",0.847156509926603,0,-0.0103806228373702,"none",1,1.66666666666667
"108","Thornton Creek Subbasin","Clinocerinae",1,0,0,"none",0,0
"109","Tibbetts Creek Subbasin","Clinocerinae",0.212902941477971,0,0.114285714285714,"none",4,7.05208333333333
"110","Upper Cedar River Subbasin","Clinocerinae",0.164169059421271,0,0.205882352941176,"none",5,3.37403724747475
"111","Vashon-Maury Island Subbasin","Clinocerinae",0.396493499928388,0,0.0636942675159236,"none",2,0.637254901960785
"112","W Lake Sammamish Subbasin","Clinocerinae",0.154728923485379,0,0.0480769230769231,"none",1,0.133928571428571
"113","W Lake Washington - Seattle N Subbasin","Clinocerinae",1,0,0,"none",0,0
"114","W Lake Washington - Seattle S Subbasin","Clinocerinae",1,0,0,"none",0,0
"115","Bear Creek Subbasin","Zapada.Oregonensis.Group",0.462877446194434,0,-0.0320219579139982,"none",37,112.798115720094
"116","Black River Subbasin","Zapada.Oregonensis.Group",0.643310276737971,0,-0.0132211538461538,"none",11,33.7592461417893
"117","Coal Creek (Cedar) Subbasin","Zapada.Oregonensis.Group",1,0,0,"none",0,0
"118","Coal Creek (Green) Subbasin","Zapada.Oregonensis.Group",0.244911828037896,0,-0.117263843648208,"none",12,46.7484518727746
"119","Covington Creek Subbasin","Zapada.Oregonensis.Group",0.340401464912146,0,0.0611028315946349,"none",23,95.4896656822464
"120","Deep Creek Subbasin","Zapada.Oregonensis.Group",0.0442370582502494,0,-0.241706161137441,"negative",12,35.3367651277647
"121","Duwamish River Subbasin","Zapada.Oregonensis.Group",0.755496874928883,0,0.0413223140495868,"none",10,15.5099728487886
"122","E Lake Sammamish Subbasin","Zapada.Oregonensis.Group",0.278396125934937,0,0.0831858407079646,"none",27,147.331805469789
"123","E Lake Washington - Kenmore N Subbasin","Zapada.Oregonensis.Group",1,0,0,"none",0,0
"124","E Lake Washington - Kenmore S Subbasin","Zapada.Oregonensis.Group",0.177666650291611,0.0227272727272727,0.274725274725275,"none",9,6.30248728129554
"125","Evans Creek Subbasin","Zapada.Oregonensis.Group",0.910938222251782,0,0.0155642023346304,"none",27,45.8709946275801
"126","Forbes Creek Subbasin","Zapada.Oregonensis.Group",0.784191229401619,0,-0.0233918128654971,"none",1,0.333333333333333
"127","Issaquah Creek Subbasin","Zapada.Oregonensis.Group",0.783665833709533,0,-0.012396694214876,"none",51,144.31218337162
"128","Jenkins Creek Subbasin","Zapada.Oregonensis.Group",0.457047520382247,0,0.0732600732600733,"none",11,111.30564589943
"129","Kelsey Creek Subbasin","Zapada.Oregonensis.Group",1,0,0,"none",0,0
"130","Little Bear Creek Subbasin","Zapada.Oregonensis.Group",0.171308373438534,0,0.0633147113594041,"none",32,97.1306870292226
"131","Lower Cedar River Subbasin","Zapada.Oregonensis.Group",0.451412184362828,0,-0.0604395604395604,"none",46,156.66713942233
