"","SiteName","SampleName","SampleDate","RiffleDepth"
"223","08EAS2631","08EAS2631_18",2018-08-14 15:21:00,3.78937007874016
"224","08EAS2446","08EAS2446_18",2018-08-14 15:50:00,3.34645669291339
"225","08EAS1964","08EAS1964_18",2018-08-14 18:27:00,4.42913385826772
"226","07GRN077319","07GRN077319_18",2018-08-14 18:30:00,3.71555118110236
"227","08LAK3121","08LAK3121_18",2018-08-14 20:00:00,1.84547244094488
"228","08EAS2058","08EAS2058_18",2018-08-14 21:00:00,4.7244094488189
"229","08WES0903","08WES0903_18",2018-08-14 21:20:00,3.34645669291339
"230","09DUW0225","09DUW0225_18",2018-08-15 15:56:00,1.96850393700787
"231","09NEW2102","09NEW2102_18",2018-08-15 16:45:00,5.19192913385827
"232","09LOW0325","09LOW0325_18",2018-08-15 18:10:00,2.48523622047244
"233","09BLA0768","09BLA0768_18",2018-08-15 21:05:00,4.18307086614173
"234","09SOO1134","09SOO1134_18",2018-08-16 17:00:00,5.70866141732283
"235","08SAM0000","08SAM0000_18",2018-08-17 16:12:00,2.31299212598425
"236","09DUW0277","09DUW0277_18",2018-08-20 20:00:00,4.10925196850394
"237","09SOO1209","09SOO1209_18",2018-08-21 17:00:00,5.06889763779528
"238","09SOO1283","09SOO1283_18",2018-08-21 18:20:00,4.97047244094488
"239","09NEW2151","09NEW2151_18",2018-08-23 16:00:00,5.09350393700787
"240","09DEE2211","09DEE2211_18",2018-08-23 16:40:00,2.18996062992126
"241","09SOO1130","09SOO1130_18",2018-08-23 17:10:00,4.47834645669291
"242","09MID2426","09MID2426_18",2018-08-23 17:40:00,2.65748031496063
"243","09NEW1657","09NEW1657_18",2018-08-23 18:50:00,7.16043307086614
"244","09JEN1357","09JEN1357_18",2018-08-23 19:00:00,4.33070866141732
"245","09MID1817","09MID1817_18",2018-08-23 20:20:00,2.46062992125984
"246","09JEN1318","09JEN1318_18",2018-08-23 20:30:00,5.21653543307087
"247","BSE_1_MudMtnRd","BSE_1_MudMtnRd_18",2018-08-23 21:45:00,6.2007874015748
"248","09MID1374","09MID1374_18",2018-08-23 22:00:00,3.69094488188976
"249","09MIL0340","09MIL0340_18",2018-08-24 15:15:00,4.52755905511811
"250","09MIL0390","09MIL0390_18",2018-08-24 17:40:00,3.69094488188976
"251","08ISS3958","08ISS3958_18",2018-08-27 15:15:00,3.1003937007874
"252","08ISS4730","08ISS4730_18",2018-08-27 17:15:00,3.88779527559055
"253","08SAM1914","08SAM1914_18",2018-08-27 18:30:00,1.40255905511811
"254","07RAG018227","07RAG018227_18",2018-08-27 20:30:00,6.34842519685039
"255","08SAM3047","08SAM3047_18",2018-08-27 21:00:00,1.5748031496063
"256","08SAM2865","08SAM2865_18",2018-08-28 15:45:00,4.42913385826772
"257","07HAR025863","07HAR025863_18",2018-08-28 17:15:00,5.26574803149606
"258","08BEA3312","08BEA3312_18",2018-08-28 20:10:00,2.70669291338583
"259","08WES1340","08WES1340_18",2018-08-28 21:00:00,3.74015748031496
"260","08CED2433","08CED2433_18",2018-08-29 15:47:00,4.08464566929134
"261","08ISS4884","08ISS4884_18",2018-08-29 16:30:00,3.20584926884139
"262","28A","28A_18",2018-08-29 17:20:00,4.37992125984252
"263","07SFS066611","07SFS066611_18",2018-08-29 17:35:00,3.08070866141732
"264","09BLA0756","09BLA0756_18",2018-08-29 19:00:00,2.18996062992126
"265","VashShing","VashShin_18",2018-08-29 19:19:00,3.88779527559055
"266","07PAT228627","07PAT228627_18",2018-08-29 19:50:00,3.93700787401575
"267","07LMS055075","07LMS055075_18",2018-08-29 20:51:00,3.27263779527559
"268","08EVA3642","08EVA3642_18",2018-08-30 15:13:00,2.06692913385827
"269","Miller_Cove","Miller_Cove_18",2018-08-30 16:00:00,4.18307086614173
"270","08CED4192","08CED4192_18",2018-08-30 16:40:00,4.89665354330709
"271","08EVA3640","08EVA3640_18",2018-08-30 17:05:00,6.02854330708661
"272","Miller_SWSSD","Miller_SWSSD_18",2018-08-30 18:00:00,4.42913385826772
"273","Evans Creek Trib #0108","Evans Creek Trib #0108_18",2018-08-30 18:45:00,3.54330708661417
"274","08EVA3813","08EVA3813_18",2018-08-30 20:40:00,2.90354330708661
"275","WalkerPreserve","WalkerPreserve_18",2018-08-30 21:00:00,3.39020122484689
"276","08CED5032","08CED5032_18",2018-08-30 21:36:00,4.25688976377953
"277","08EAS2272","08EAS2272_18",2018-08-31 19:50:00,9.10433070866142
"278","07PAT231079","07PAT231079_18",2018-09-05 15:45:00,2.38681102362205
"279","09DEE2208","09DEE2208_18",2018-09-06 16:10:00,4.28149606299213
"280","07GRN022903","07GRN022903_18",2018-09-06 16:38:00,2.55905511811024
"281","09MID1537","09MID1537_18",2018-09-06 18:50:00,2.70669291338583
"282","07PAT187623","07PAT187623_18",2018-09-06 19:08:00,5.36417322834646
"283","07RAG004615","07RAG004615_18",2018-09-06 20:52:00,6.15157480314961
"284","08SAM2855","08SAM2855_18",2018-09-10 16:00:00,2.55905511811024
"285","08LIT2585","08LIT2585_18",2018-09-10 17:50:00,3.91240157480315
"286","08LIT2682","08LIT2682_18",2018-09-10 20:45:00,7.16043307086614
"287","09COV1756","09COV1756_18",2018-09-11 18:45:00,3.93700787401575
"288","07RAG042787","07RAG042787_18",2018-09-12 16:50:00,6.34842519685039
"289","07SFS011059","07SFS011059_18",2018-09-12 20:45:00,7.92322834645669
"290","08ISS4724","08ISS4724_18",2018-09-12 21:00:00,5.26574803149606
"291","08NOR1370","08NOR1370_18",2018-09-13 15:19:00,4.37992125984252
"292","08NOR1362","08NOR1362_18",2018-09-13 17:50:00,3.76476377952756
"293","08NOR1750","08NOR1750_18",2018-09-13 20:15:00,3.71555118110236
"294","08NOR2306","08NOR2306_18",2018-09-13 21:06:00,4.99507874015748
"295","08LIT2781","08LIT2781_18",2018-09-17 15:30:00,4.47834645669291
"296","08CED5046","08CED5046_18",2018-09-17 16:32:00,4.20767716535433
"297","08EAS1536","08EAS1536_18",2018-09-17 21:00:00,3.0511811023622
"298","07TKL072439","07TKL072439_18",2018-09-17 21:22:00,3.74015748031496
"299","07SFS009443","07SFS009443_18",2018-09-18 17:00:00,4.87204724409449
"300","07SFS041891","07SFS041891_18",2018-09-18 17:23:00,11.1220472440945
"301","07SFS011475","07SFS011475_18",2018-09-18 19:30:00,5.36417322834646
"302","07LMS103591","07LMS103591_18",2018-09-18 21:15:00,8.26771653543307
"303","09DUW0091","09DUW0091_18",2018-09-19 15:40:00,3.44488188976378
"304","08BEA3737","08BEA3737_18",2018-09-19 16:30:00,1.96850393700787
"305","07LST069191","07LST069191_18",2018-09-19 17:11:00,2.70669291338583
"306","08BEA3650","08BEA3650_18",2018-09-19 17:55:00,5.56102362204724
"307","08BEA3321","08BEA3321_18",2018-09-19 19:56:00,4.77362204724409
"308","07LNT163403","07LNT163403_18",2018-09-19 20:48:00,5.51181102362205
"309","08WES1037","08WES1037_18",2018-09-19 21:30:00,2.41141732283465
"310","09COV1862","09COV1862_18",2018-09-20 07:00:00,2.18996062992126
"311","07LNT062039","07LNT062039_18",2018-09-20 17:30:00,5.31496062992126
"312","09COV1864","09COV1864_18",2018-09-20 19:18:00,2.75590551181102
"313","07LNT130827","07LNT130827_18",2018-09-20 21:30:00,6.05314960629921
"314","08SAM2674","08SAM2674_18",2018-09-21 16:45:00,3.86318897637795
"315","08EAS2191","08EAS2191_18",2018-09-24 15:35:00,3.1003937007874
"316","07PAT001415","07PAT001415_18",2018-09-24 16:21:00,3.74015748031496
"317","08EAS2546","08EAS2546_18",2018-09-24 17:40:00,2.41141732283465
"318","07PAT166087","07PAT166087_18",2018-09-24 17:50:00,3.1742125984252
"319","09SOO1022","09SOO1022_18",2018-09-24 20:29:00,3.1496062992126
"320","08LAK3627","08LAK3627_18",2018-09-25 16:15:00,4.97047244094488
"321","07CHR070059","07CHR070059_18",2018-09-25 17:12:00,4.37992125984252
"322","08LAK3628","08LAK3628_18",2018-09-25 17:50:00,2.75590551181102
"323","07CHR234411","07CHR234411_18",2018-09-25 21:15:00,3.66633858267717
"324","09SOO0943","09SOO0943_18",2018-09-25 21:30:00,4.81053149606299
"325","07STL184007","07STL184007_18",2018-09-26 16:30:00,6.54527559055118
"326","07CHR045515","07CHR045515_18",2018-09-26 19:45:00,5.95472440944882
"327","VashChris","VashChris_18",2018-09-26 21:50:00,2.82972440944882
"328","09NEW2128","09NEW2128_18",2018-09-27 15:55:00,3.34645669291339
"329","08BEA3747","08BEA3747_18",2018-09-27 16:24:00,8.26771653543307
"330","09COV1418","09COV1418_18",2018-09-27 18:30:00,2.66978346456693
"331","07LNT075179","07LNT075179_18",2018-09-28 18:30:00,3.71555118110236
"332","07RAG022147","07RAG022147_18",2018-10-01 16:30:00,2.11614173228346
"333","07RAG002867","07RAG002867_18",2018-10-01 20:15:00,3.38336614173228
"334","08LIT2685","08LIT2685_18",2018-10-02 16:00:00,5.85629921259843
"335","08NOR2115","08NOR2115_18",2018-10-02 18:05:00,3.0511811023622
"336","08WES1490","08WES1490_18",2018-10-02 18:20:00,2.46062992125984
"337","08WES1579","08WES1579_18",2018-10-02 20:30:00,2.38681102362205
"338","BSE_8_268hAveSE","BSE_8_268hAveSE_18",2018-10-03 15:34:00,3.60482283464567
"339","09LOW0751","09LOW0751_18",2018-10-04 15:15:00,2.46062992125984
"340","08LAK3880","08LAK3880_18",2018-10-04 18:40:00,5.36417322834646
"341","09MID1744","09MID1744_18",2018-10-05 19:00:00,4.92125984251969
"342","07TKL047047","07TKL047047_18",2018-10-08 16:40:00,3.69094488188976
"343","08BEA3312","08BEA3312_19",2019-06-16 16:13:00,4.97047244094488
"344","08ISS3877","08ISS3877_19",2019-07-15 16:00:00,5.75787401574803
"345","08BEA3737","08BEA3737_19",2019-07-16 19:30:00,2.26377952755906
"346","08BEA3474","08BEA3474_19",2019-07-17 15:11:00,10.0393700787402
"347","08LIT2682","08LIT2682_19",2019-07-17 18:30:00,4.50295275590551
"348","08EAS1536","08EAS1536_19",2019-07-18 15:10:00,2.31299212598425
"349","09COV1862","09COV1862_19",2019-07-18 15:30:00,3.24803149606299
"350","08ISS3962","08ISS3962_19",2019-07-18 16:50:00,4.94586614173228
"351","08WES1178","08WES1178_19",2019-07-18 18:10:00,2.26377952755906
"352","09COV1864","09COV1864_19",2019-07-18 18:56:00,2.06692913385827
"353","08WES0905","08WES0905_19",2019-07-18 21:30:00,3.54330708661417
"354","07PAT166087","07PAT166087_19",2019-07-22 16:37:00,5.46259842519685
"355","07TKL072439","07TKL072439_19",2019-07-22 18:35:00,2.63287401574803
"356","08ISS4748","08ISS4748_19",2019-07-22 19:50:00,5.95472440944882
"357","09DUW0225","09DUW0225_19",2019-07-23 15:45:00,2.23917322834646
"358","08CED4192","08CED4192_19",2019-07-23 16:00:00,4.03543307086614
"359","09DUW0091","09DUW0091_19",2019-07-23 19:30:00,3.1742125984252
"360","08ISS4735","08ISS4735_19",2019-07-23 20:00:00,3.1496062992126
"361","08SAM2855","08SAM2855_19",2019-07-25 19:00:00,1.67322834645669
"362","07RAG004615","07RAG004615_19",2019-07-29 15:30:00,4.6998031496063
"363","08ISS4884","08ISS4884_19",2019-07-29 16:00:00,3.0511811023622
"364","07RAG018227","07RAG018227_19",2019-07-29 18:30:00,4.23228346456693
"365","08ISS4294","08ISS4294_19",2019-07-29 18:45:00,7.57874015748031
"366","09MID1958","09MID1958_19",2019-07-29 20:45:00,3.24803149606299
"367","08ISS4730","08ISS4730_19",2019-07-29 22:00:00,4.18307086614173
