"","SiteName","SampleName","SampleDate","WettedWidth","BankfulWidth","expr1"
"227","08LAK3121","08LAK3121_18",2018-08-14 20:00:00,13.2470375,15.010575,0.882513661202186
"228","08EAS2058","08EAS2058_18",2018-08-14 21:00:00,20.588275,27.2323,0.756024096385542
"229","08WES0903","08WES0903_18",2018-08-14 21:20:00,15.830825,22.80295,0.694244604316547
"230","09DUW0225","09DUW0225_18",2018-08-15 15:56:00,4.7492475,8.743865,0.543151969981238
"231","09NEW2102","09NEW2102_18",2018-08-15 16:45:00,8.9817375,13.6735675,0.656868626274745
"232","09LOW0325","09LOW0325_18",2018-08-15 18:10:00,5.6843325,8.4075625,0.67609756097561
"233","09BLA0768","09BLA0768_18",2018-08-15 21:05:00,7.7513625,10.6222375,0.72972972972973
"234","09SOO1134","09SOO1134_18",2018-08-16 17:00:00,35.40199,40.3973125,0.876345177664975
"235","08SAM0000","08SAM0000_18",2018-08-17 16:12:00,51.265625,28.9794325,1.76903481460515
"236","09DUW0277","09DUW0277_18",2018-08-20 20:00:00,4.3555275,6.8490875,0.635928143712575
"237","09SOO1209","09SOO1209_18",2018-08-21 17:00:00,9.67895,10.1711,0.951612903225806
"238","09SOO1283","09SOO1283_18",2018-08-21 18:20:00,12.63185,15.830825,0.797927461139896
"239","09NEW2151","09NEW2151_18",2018-08-23 16:00:00,12.8369125,14.944955,0.858946212952799
"240","09DEE2211","09DEE2211_18",2018-08-23 16:40:00,7.070555,10.33515,0.684126984126984
"241","09SOO1130","09SOO1130_18",2018-08-23 17:10:00,24.77155,32.235825,0.768447837150127
"242","09MID2426","09MID2426_18",2018-08-23 17:40:00,2.608395,7.57911,0.344155844155844
"243","09NEW1657","09NEW1657_18",2018-08-23 18:50:00,25.181675,28.298625,0.889855072463768
"244","09JEN1357","09JEN1357_18",2018-08-23 19:00:00,16.405,18.0455,0.909090909090909
"245","09MID1817","09MID1817_18",2018-08-23 20:20:00,7.8497925,9.97424,0.787006578947368
"246","09JEN1318","09JEN1318_18",2018-08-23 20:30:00,20.0141,25.017625,0.8
"247","BSE_1_MudMtnRd","BSE_1_MudMtnRd_18",2018-08-23 21:45:00,18.53765,20.3422,0.911290322580645
"248","09MID1374","09MID1374_18",2018-08-23 22:00:00,7.595515,10.3433525,0.734337827121332
"249","09MIL0340","09MIL0340_18",2018-08-24 15:15:00,9.35085,14.7645,0.633333333333333
"250","09MIL0390","09MIL0390_18",2018-08-24 17:40:00,8.776675,10.1711,0.862903225806451
"251","08ISS3958","08ISS3958_18",2018-08-27 15:15:00,3.11695,5.430055,0.574018126888218
"252","08ISS4730","08ISS4730_18",2018-08-27 17:15:00,28.8728,32.399875,0.891139240506329
"253","08SAM1914","08SAM1914_18",2018-08-27 18:30:00,4.9625125,7.71035,0.643617021276596
"254","07RAG018227","07RAG018227_18",2018-08-27 20:30:00,23.19667,35.090295,0.661056568489949
"255","08SAM3047","08SAM3047_18",2018-08-27 21:00:00,8.69465,8.8587,0.981481481481481
"256","08SAM2865","08SAM2865_18",2018-08-28 15:45:00,6.479975,11.073375,0.585185185185185
"257","07HAR025863","07HAR025863_18",2018-08-28 17:15:00,7.956425,9.925025,0.801652892561983
"258","08BEA3312","08BEA3312_18",2018-08-28 20:10:00,5.331625,6.562,0.8125
"259","08WES1340","08WES1340_18",2018-08-28 21:00:00,7.8990075,15.9374575,0.495625321667524
"260","08CED2433","08CED2433_18",2018-08-29 15:47:00,4.8640825,6.2749125,0.77516339869281
"261","08ISS4884","08ISS4884_18",2018-08-29 16:30:00,10.3925675,11.2620325,0.922796795338674
"262","28A","28A_18",2018-08-29 17:20:00,12.385775,16.56905,0.747524752475248
"263","07SFS066611","07SFS066611_18",2018-08-29 17:35:00,5.4710675,9.2934325,0.588702559576346
"264","09BLA0756","09BLA0756_18",2018-08-29 19:00:00,17.143225,32.64595,0.525125628140704
"265","VashShing","VashShin_18",2018-08-29 19:19:00,14.27235,21.900675,0.651685393258427
"266","07PAT228627","07PAT228627_18",2018-08-29 19:50:00,10.00705,20.260175,0.493927125506073
"267","07LMS055075","07LMS055075_18",2018-08-29 20:51:00,7.956425,36.008975,0.220956719817768
"268","08EVA3642","08EVA3642_18",2018-08-30 15:13:00,5.823775,10.089075,0.577235772357723
"269","Miller_Cove","Miller_Cove_18",2018-08-30 16:00:00,10.1957075,13.9524525,0.730746619635509
"270","08CED4192","08CED4192_18",2018-08-30 16:40:00,21.244475,26.822175,0.792048929663609
"271","08EVA3640","08EVA3640_18",2018-08-30 17:05:00,7.300225,12.4678,0.585526315789474
"272","Miller_SWSSD","Miller_SWSSD_18",2018-08-30 18:00:00,13.763795,17.011985,0.809064609450338
"273","08EVA3813","08EVA3813_18",2018-08-30 20:40:00,6.4389625,8.448575,0.762135922330097
"274","WalkerPreserve","WalkerPreserve_18",2018-08-30 21:00:00,9.1457875,10.8683125,0.841509433962264
"275","08CED5032","08CED5032_18",2018-08-30 21:36:00,9.071965,19.39071,0.467851099830795
"276","08EAS2272","08EAS2272_18",2018-08-31 19:50:00,13.370075,14.27235,0.936781609195402
"277","07PAT231079","07PAT231079_18",2018-09-05 15:45:00,5.2085875,7.9154125,0.658031088082902
"278","09DEE2208","09DEE2208_18",2018-09-06 16:10:00,19.65319,26.248,0.74875
"279","07GRN022903","07GRN022903_18",2018-09-06 16:38:00,16.3639875,29.2009,0.560393258426966
"280","09MID1537","09MID1537_18",2018-09-06 18:50:00,1.919385,5.298815,0.362229102167183
"281","07PAT187623","07PAT187623_18",2018-09-06 19:08:00,13.862225,14.3133625,0.968481375358166
"282","07RAG004615","07RAG004615_18",2018-09-06 20:52:00,45.031725,64.225575,0.701149425287356
"283","08SAM2855","08SAM2855_18",2018-09-10 16:00:00,8.054855,14.1083,0.57093023255814
"284","08LIT2585","08LIT2585_18",2018-09-10 17:50:00,17.88145,23.6642125,0.755632582322357
"285","08LIT2682","08LIT2682_18",2018-09-10 20:45:00,16.70029,34.138805,0.48918789043729
"286","09COV1756","09COV1756_18",2018-09-11 18:45:00,33.712275,52.742075,0.639191290824261
