"","Site.Code","mean_Overall.Score","SD_overallscore","SE_overallscore","len","MK_trend","Avg_MKSlope_Overall.Score","Avg_MKtau_Overall.Score","Avg_MKpval_Overall.Score","sites","min","max","med"
"57","08NOR1756",23.0493812283268,10.7340184091505,3.23642832326545,11,"positive",2.39296257058515,0.563636363636364,0.0195174811821778,1,5.79458450046685,36.3349201777814,25.0528998625154
"58","08NOR2306",27.5344101265047,6.70341196691047,1.67585299172762,16,"none",0.466041545477158,0.266666666666667,0.162805449743693,1,17.0441665038108,39.0245872318736,28.2205715211421
"59","08SAM0000",7.97266250441425,6.76273153865501,1.69068288466375,16,"none",0.417504392107721,0.366666666666667,0.0528715926149876,1,0,24.3928448572411,6.32580225072486
"60","08SAM1914",23.6620583848516,9.13531808639698,2.53368136755214,13,"none",-0.605203495168579,-0.230769230769231,0.299665448434302,1,10.4442110177404,42.5761893904849,24.5946183859101
"61","08SAM2674",17.8414549022894,8.48512982758728,2.12128245689682,16,"positive",0.675891832944706,0.383333333333333,0.0427634258331939,1,3.21161973561354,35.8319573443412,17.968575965678
"62","08SAM2855",7.6187820783148,4.40728948515808,1.13795725186215,15,"none",0.253632740168845,0.152380952380952,0.457349640843514,1,0,15.0209072613133,7.07541139670883
"63","08SAM2862",64.6906226947987,10.9341527638533,3.03258834183303,13,"none",-0.902297393865751,-0.230769230769231,0.299665448434302,1,41.5500003142832,79.4790127393267,64.9895772262393
"64","08SAM3045",41.1941434468524,19.9763379408526,6.31707272023322,10,"positive",1.68236358871033,0.511111111111111,0.0490979816092656,1,0.54263565891473,72.9282308598674,38.7008968213969
"65","08SAM3047",62.5964420856062,8.10053012473388,2.02513253118347,16,"positive",1.29389954472201,0.5,0.00789966213049371,1,50.4474141349726,75.0241026643215,64.140625160713
"66","08WES0622",15.8864431465501,4.52374181056702,1.06625617019635,18,"none",0.12876121991025,0.0849673202614379,0.649445669217466,1,6.94210817742029,22.4323159700437,15.9869981040152
"67","08WES0629",6.27112965051167,8.06668889937948,1.85062535375666,19,"none",0.269005847953216,0.315789473684211,0.0635432497785806,1,0,33.8013538748833,3.06599832915623
"68","08WES0903",31.4190001437972,6.51002891536858,1.57891393199352,17,"none",0.0651489930937698,0.0294117647058824,0.901649504895373,1,14.4407587596442,40.8295139353171,32.5350897192822
"69","08WES0905",32.3839078751656,14.1029668003428,3.5257417000857,16,"positive",1.83543253422679,0.533333333333333,0.00456226115322261,1,6.66205956066637,54.8508754787105,31.7057623539012
"70","08WES1037",32.0520162822824,7.26335573025948,1.71198936367888,18,"positive",0.897069331381856,0.516339869281046,0.00313216069473615,1,19.8171286058283,45.7041995092611,31.2416752094555
"71","08WES1178",11.7711482593854,4.06198189641364,1.01549547410341,16,"none",-0.0203065951229972,0,1,1,6.2092731829574,17.5065070908004,11.5540175678595
"72","08WES1340",20.7331420110544,6.19162498864282,1.59867069779835,15,"none",0.460964149021514,0.333333333333333,0.0924595951108613,1,10.7752823691696,36.969385387774,20.5657771880682
"73","08WES1490",9.52162996981739,3.09864076032987,0.8945005385492,12,"none",-0.146410519192037,-0.181818181818182,0.45067028531418,1,4.80513784461153,15.6481402434495,9.75235140976015
"74","08WES1579",6.29198014034935,3.92870539876444,1.13411955977169,12,"none",-0.043965244431891,0,1,1,0.166666666666667,12.1065211478308,7.15439276485788
"75","09BLA0675",30.422445814311,9.58533965354242,2.56178977995815,14,"none",0.833628969063487,0.340659340659341,0.100518173207465,1,12.1188339064716,47.3005353100032,29.4393753421402
"76","09BLA0716",25.9523650029287,6.02074284855555,1.46024462995745,17,"none",0.276981175307058,0.191176470588235,0.303096532467549,1,15.5113084809607,34.6519859269697,27.4084484466981
"77","09BLA0722",20.0579470507093,7.80858922198407,2.01616906760794,15,"none",0.574704637056786,0.314285714285714,0.113287208222353,1,0.0555555555555556,30.4196912138989,20.6177664864395
