"","taxon","mk.tau","mk.Sen","mk.pval","mk.inter","mk.trend","samples","sum.taxon"
"29","Skwala",-0.39766081871345,-0.479254201680672,0.0190031516087675,1015.23984593838,"negative",19,979.869984211534
"30","Simuliidae",0.280701754385965,0.163540163540162,0.0999019621721585,-236.250016250013,"none",19,1768.46110233942
"31","Sialis",-0.0467836257309941,-0.0228484386900228,0.806418479803275,49.001361674629,"none",18,68.5856300349688
"32","Serratella.levis_micheneri",0.309941520467836,0.0968672258547432,0.0652593733019693,-193.906759409842,"none",14,22.7758527554481
"33","Scirtidae",0.0292397660818713,0,0.824051844966123,0,"none",3,2.78836528836529
"34","Sciomyzidae",0.0701754385964912,0,0.638224422991075,0,"none",6,5.94392568165948
"35","Rhyacophila",0.380116959064327,0.304515745692216,0.0251509343880066,-528.348330935148,"positive",19,1588.71271676804
"36","Rhithrogena",0.105263157894737,0.0906120023767083,0.55176390519038,-146.441783564546,"none",19,671.286299589848
"37","Rhabdomastix",0.239766081871345,0.0809061488673139,0.160486631549399,-160.82238720731,"none",16,37.590147747427
"38","Ramellogammarus",0.298245614035088,0.0606375606375607,0.0782704284007237,-121.022379845909,"none",15,18.9497104786626
"39","Ptychoptera",-0.111111111111111,-0.0350729517396184,0.528359327270949,73.3445566778901,"none",19,55.8101752865997
"40","Ptilodactylidae",0.0701754385964912,0,0.315302452081746,0,"none",1,1.01010101010101
"41","Pteronarcys",0.660818713450292,0.649419780687746,8.91446118456458e-05,-1291.78111359523,"positive",19,287.86525429001
"42","Pteronarcyidae",0.269005847953216,0,0.0669461513831828,0,"none",7,9.58992429580665
"43","Pteronarcella",0.0935672514619883,0.0155588747821754,0.599510178560003,-26.4967637540446,"none",19,85.2052896342096
"44","Psychomyia",0.239766081871345,0,0.0261911153439148,0,"positive",3,2.96136695337152
"45","Psychoglypha",0.157894736842105,0.117243867243867,0.362432236725871,-230.992700110347,"none",19,93.7888011322869
