"","taxon","site","mk.tau","mk.Sen","mk.pval","mk.inter","trend","samples","sum.taxon"
"177","Kogotus.Rickera.Cultus","08NOR1756",0.436363636363636,0.0833333333333333,0.0491350958896035,-167.666666666667,"positive",5,10.3888014874142
"178","Kogotus.Rickera.Cultus","08NOR2306",0.00833333333333333,0,1,0,"none",5,3.5400641025641
"179","Kogotus.Rickera.Cultus","08SAM0000",0,0,NA,0,"none",0,0
"180","Kogotus.Rickera.Cultus","08SAM1914",0.192307692307692,0,0.242798970223272,0,"none",3,3.359375
"181","Kogotus.Rickera.Cultus","08SAM2674",0,0,NA,0,"none",0,0
"182","Kogotus.Rickera.Cultus","08SAM2855",0,0,NA,0,"none",0,0
"183","Kogotus.Rickera.Cultus","08SAM2862",0.192307692307692,0.0106292517006803,0.366489169172414,-20.9385629251701,"none",7,6.75904304029304
"184","Kogotus.Rickera.Cultus","08SAM3047",0.0666666666666667,0,0.745206167262142,0.68452380952381,"none",10,15.5535714285714
"185","Kogotus.Rickera.Cultus","08WES0622",0.0735294117647059,0,0.35832646674888,0,"none",1,0.267857142857143
"186","Kogotus.Rickera.Cultus","08WES0629",0,0,NA,0,"none",0,0
"187","Kogotus.Rickera.Cultus","08WES0903",-0.183823529411765,-0.0266106442577033,0.31092605849155,54.0084033613449,"none",11,8.58394247651214
"188","Kogotus.Rickera.Cultus","08WES0905",0.258333333333333,0.0376131221719457,0.15683772035407,-75.0962952488688,"none",9,30.0892340588548
"189","Kogotus.Rickera.Cultus","08WES1037",0,0,NA,0,"none",0,0
"190","Kogotus.Rickera.Cultus","08WES1178",-0.0416666666666667,0,0.664389443171999,0,"none",1,1.25
"191","Kogotus.Rickera.Cultus","08WES1340",0,0,NA,0,"none",0,0
"192","Kogotus.Rickera.Cultus","08WES1490",0,0,NA,0,"none",0,0
"193","Kogotus.Rickera.Cultus","08WES1579",0,0,NA,0,"none",0,0
"194","Kogotus.Rickera.Cultus","09BLA0675",0.102564102564103,0.046768707482993,0.664200161966432,-92.6296768707478,"none",9,39.2782738095238
"195","Kogotus.Rickera.Cultus","09BLA0716",-0.220588235294118,0,0.177896700389319,0,"none",7,12.3068181818182
"196","Kogotus.Rickera.Cultus","09BLA0722",-0.2,0,0.0905841414421162,0,"none",2,3.38095238095238
"197","Kogotus.Rickera.Cultus","09BLA0756",0.0857142857142857,0.0555555555555557,0.692180772721877,-107.876068376069,"none",15,91.8573993797208
"198","Kogotus.Rickera.Cultus","09BLA0768",-0.0952380952380952,-0.0701023114816219,0.655647185528678,143.502316648869,"none",14,49.443499903395
"199","Kogotus.Rickera.Cultus","09BLA0771",-0.0769230769230769,0,0.504035866452505,0,"none",1,0.333333333333333
"200","Kogotus.Rickera.Cultus","09BLA0772",-0.025,0,0.828262540835312,0,"none",1,0.625
"201","Kogotus.Rickera.Cultus","09BLA0817",0,0,NA,0,"none",0,0
"202","Kogotus.Rickera.Cultus","09COV1165",-0.0735294117647059,0,0.642842178104128,0,"none",5,8.56233276180084
"203","Kogotus.Rickera.Cultus","09COV1418",-0.0457516339869281,0,0.674173070931269,0,"none",2,2.96875
"204","Kogotus.Rickera.Cultus","09COV1756",0.16374269005848,0,0.290328338213356,0,"none",8,9.18488058475245
"205","Kogotus.Rickera.Cultus","09COV1862",0.0166666666666667,0,0.961447807171676,0.180963010204082,"none",8,23.1637648798727
"206","Kogotus.Rickera.Cultus","09COV1864",0.208791208791209,0,0.246912382759773,0,"none",5,3.11756993006993
"207","Kogotus.Rickera.Cultus","09DEE2163",-0.0333333333333333,0,0.857881765618859,0,"none",4,10.2151460046384
"208","Kogotus.Rickera.Cultus","09DEE2208",-0.152046783625731,0,0.32754264525831,0,"none",8,15.287910618793
"209","Kogotus.Rickera.Cultus","09DEE2211",0.131868131868132,0,0.501094108152594,0,"none",6,14.4452863712375
"210","Kogotus.Rickera.Cultus","09DEE2294",0.367647058823529,0,0.0115782335611861,0,"positive",5,12.4131944444444
"211","Kogotus.Rickera.Cultus","09DUW0091",-0.0454545454545455,0,0.772058969750735,0,"none",1,0.333333333333333
"212","Kogotus.Rickera.Cultus","09DUW0277",0,0,NA,0,"none",0,0
"213","Kogotus.Rickera.Cultus","09JEN1318",0.141666666666667,0,0.404461235917781,0,"none",6,6.85735544217686
"214","Kogotus.Rickera.Cultus","09JEN1357",0.137254901960784,0,0.363467309582829,0,"none",6,14.7143249679428
"215","Kogotus.Rickera.Cultus","09LOW0325",0,0,NA,0,"none",0,0
"216","Kogotus.Rickera.Cultus","09LOW0751",0.0701754385964912,0,0.616832378366589,0,"none",5,4.43870192307692
"217","Kogotus.Rickera.Cultus","09LOW0753",0,0,NA,0,"none",0,0
"218","Kogotus.Rickera.Cultus","09MID1374",0.16374269005848,0,0.323535890915864,0.220588235294118,"none",11,19.0404295051354
"219","Kogotus.Rickera.Cultus","09MID1537",-0.133333333333333,0,0.132463566807951,0,"none",1,0.625
"220","Kogotus.Rickera.Cultus","09MID1744",0.225,0,0.151321034203244,0,"none",5,2.71603260869565
"221","Kogotus.Rickera.Cultus","09MID1817",-0.0909090909090909,-0.0858322113710039,0.73170172322421,174.94133246423,"none",11,36.4446881935798
"222","Kogotus.Rickera.Cultus","09MID1958",0.242647058823529,0,0.0453597082792346,0,"positive",3,1.97916666666667
"223","Kogotus.Rickera.Cultus","09MID2426",-0.0441176470588235,0,0.609834043673459,0,"none",1,1
"224","Kogotus.Rickera.Cultus","09MIL0340",0.019047619047619,0.025390625,0.960482686099531,-49.705078125,"none",13,39.3899179864253
"225","Kogotus.Rickera.Cultus","09MIL0390",0.111111111111111,0,0.517001714048902,0.333333333333333,"none",12,30.6127689712249
"226","Kogotus.Rickera.Cultus","09NEW1657",0.280701754385965,0.0681818181818182,0.0964338524104823,-136.515151515152,"none",14,29.3137895392426
"227","Kogotus.Rickera.Cultus","09NEW2076",0,0,1,0.206043956043956,"none",8,12.48240995116
"228","Kogotus.Rickera.Cultus","09NEW2102",0.294117647058824,0.0288461538461542,0.0736382701203027,-57.8573717948724,"none",9,10.2606641542794
"229","Kogotus.Rickera.Cultus","09NEW2128",0.0350877192982456,0,0.820089851129245,0,"none",5,5.72266855702583
"230","Kogotus.Rickera.Cultus","09NEW2151",0.397435897435897,0.0919289044289046,0.0451805554807028,-184.777097902098,"positive",6,8.7326388888889
"231","Kogotus.Rickera.Cultus","09SOO0943",0.316176470588235,0,0.0512833561180507,0,"none",7,23.2487151329321
"232","Kogotus.Rickera.Cultus","09SOO1022",0.198529411764706,0.0640726461038962,0.276846151940742,-128.108671389752,"none",12,38.2118182994542
"233","Kogotus.Rickera.Cultus","09SOO1130",0.152046783625731,0.0620404411764706,0.373352258670747,-123.575367647059,"none",13,72.5943399628414
"234","Kogotus.Rickera.Cultus","09SOO1134",-0.156862745098039,0,0.318678862577877,0,"none",7,7.27450093640358
"235","Kogotus.Rickera.Cultus","09SOO1209",-0.0454545454545455,-0.0124458695544576,0.890660347958231,25.8300204573796,"none",10,14.1343136810391
"236","Kogotus.Rickera.Cultus","09SOO1283",0.287581699346405,0,0.0375159854845013,0,"positive",5,2.68849206349206
"237","Kogotus.Rickera.Cultus","Miller_Cove",0.333333333333333,0.102040816326531,0.178600533898422,-205.556972789116,"none",5,8.31845238095238
"238","Kogotus.Rickera.Cultus","VashChris",0.333333333333333,0.131747159090909,0.149860747513049,-263.394235321969,"none",11,23.3556753193702
"239","Kogotus.Rickera.Cultus","VashShing",0.021978021978022,0.000850340136054292,0.956276201983786,0.631590136054683,"none",13,32.3742358429858
"240","Kogotus.Rickera.Cultus","WalkerPreserve",-0.0666666666666667,-0.28846153846154,0.858027656987521,584.331730769234,"none",10,53.4889705882353
"241","Clinocerinae","08BEA3312",0.227941176470588,0,0.0606248165667655,0,"none",3,2.1640625
"242","Clinocerinae","08BEA3474",0,0,NA,0,"none",0,0
"243","Clinocerinae","08BEA3478",0,0,NA,0,"none",0,0
"244","Clinocerinae","08BEA3571",0,0,NA,0,"none",0,0
"245","Clinocerinae","08BEA3650",0,0,NA,0,"none",0,0
"246","Clinocerinae","08BEA3737",0.111111111111111,0,0.123077929133899,0,"none",1,0.178571428571429
"247","Clinocerinae","08BEA3747",-0.105263157894737,0,0.120690800527446,0,"none",1,1.42857142857143
"248","Clinocerinae","08BEA3826",0.0588235294117647,0,0.474958539889507,0,"none",1,3
"249","Clinocerinae","08CED2433",0,0,NA,0,"none",0,0
"250","Clinocerinae","08CED2711",0.266666666666667,0,0.220671361919847,0,"none",3,0.987980769230769
