"","SiteName","SampleDate","LargeWoodyDebrisNumber","SampleName"
"501","08EAS2446",2020-09-22 15:10:00,0,"08EAS2446_20"
"502","08EAS2540",2020-09-22 17:15:00,7,"08EAS2540_20"
"503","08LAK3540",2020-09-21 16:00:00,3,"08LAK3540_20"
"504","08LAK3627",2020-09-21 17:55:00,0,"08LAK3627_20"
"505","08EAS2546",2020-09-21 22:00:00,0,"08EAS2546_20"
"506","09MID2426",2020-09-23 16:30:00,4,"09MID2426_20"
"507","07LNT062039",2020-09-22 17:15:00,11,"07LNT062039_20"
"508","07LNT075179",2020-09-22 20:15:00,15,"07LNT075179_20"
"509","07CHR070059",2020-09-29 18:15:00,6,"07CHR070059_20"
"510","07CHR045515",2020-09-29 21:45:00,0,"07CHR045515_20"
"511","07RAG043443",2020-09-30 16:30:00,12,"07RAG043443_20"
"512","07GRN077319",2020-09-30 19:45:00,4,"07GRN077319_20"
"513","09SOO1022",2020-10-01 20:45:00,5,"09SOO1022_20"
"514","09SOO1209",2020-10-01 18:15:00,0,"09SOO1209_20"
"515","08LIT2602",2020-09-22 21:45:00,13,"08LIT2602_20"
"517","07CHR234411",2020-10-02 16:30:00,10,"07CHR234411_20"
"521","08ISS4748",2020-08-03 20:00:00,0,"08ISS4748_20"
"522","08ISS3962",2020-08-03 22:20:00,18,"08ISS3962_20"
"523","08ISS4884",2020-08-03 17:00:00,9,"08ISS4884_20"
"524","09NEW2128",2020-09-30 18:45:00,1,"09NEW2128_20"
"525","08BEA3737",2020-07-21 20:20:00,0,"08BEA3737_20"
"526","09DEE2294",2020-09-30 16:30:00,0,"09DEE2294_20"
"529","08LAK3699",2020-10-07 21:50:00,5,"08LAK3699_20"
"532","07GRN022903",2020-09-23 16:30:00,6,"07GRN022903_20"
"533","07LMS055075",2020-09-21 16:45:00,1,"07LMS055075_20"
"534","07TKL047047",2020-09-21 20:00:00,5,"07TKL047047_20"
"535","07PAT228627",2020-10-07 19:00:00,2,"07PAT228627_20"
"544","07LNT163403",2020-09-29 17:45:00,2,"07LNT163403_20"
"545","08LIT2603",2020-09-29 22:00:00,0,"08LIT2603_20"
"546","08EAS2058",2020-07-27 19:30:00,3,"08EAS2058_20"
"547","07LMS026663",2020-09-22 18:55:00,9,"07LMS026663_20"
"548","08WES0622",2020-08-06 19:01:00,2,"08WES0622_20"
"549","09NEW2076",2020-10-01 21:00:00,4,"09NEW2076_20"
"550","07SFS011475",2020-09-22 21:11:00,0,"07SFS011475_20"
"551","08WES0629",2020-08-06 20:45:00,5,"08WES0629_20"
"552","09BLA0817",2020-08-13 18:30:00,4,"09BLA0817_20"
"553","VashShing",2020-09-22 21:20:00,10,"VashShin_20"
"554","08BEA3914",2020-08-20 17:00:00,5,"08BEA3914_20"
"555","08BEA3826",2020-08-20 18:24:00,5,"08BEA3826_20"
"556","09MID1958",2020-09-29 17:45:00,3,"09MID1958_20"
"557","08SAM3047",2020-08-20 20:35:00,4,"08SAM3047_20"
"558","09MID1744",2020-09-29 20:25:00,6,"09MID1744_20"
"559","08EVA3813",2020-08-27 20:00:00,2,"08EVA3813_20"
"560","08SAM2862",2020-09-30 17:00:00,9,"08SAM2862_20"
"561","07STL184007",2020-09-10 18:00:00,2,"07STL184007_20"
"562","08SAM3045",2020-09-30 20:00:00,1,"08SAM3045_20"
"563","08LIT2585",2020-09-21 16:30:00,5,"08LIT2585_20"
"564","07RAG012515",2020-08-27 17:10:00,2,"07RAG012515_20"
"565","08ISS4573",2020-10-01 17:40:00,4,"08ISS4573_20"
"568","07LMS103591",2020-09-22 16:42:00,0,"07LMS103591_20"
"569","08LAK3880",2020-10-01 19:30:00,3,"08LAK3880_20"
"570","28A",2020-10-05 20:30:00,17,"28A_20"
"571","VashChris",2020-10-05 22:00:00,1,"VashChris_20"
"572","09SOO1283",2020-10-06 21:00:00,11,"09SOO1283_20"
"573","07SFS011059",2020-10-07 16:30:00,1,"07SFS011059_20"
"574","08BEA3312",2020-09-21 18:50:00,2,"08BEA3312_20"
"575","09NEW1657",2020-10-01 17:53:00,1,"09NEW1657_20"
"576","08SAM0000",2020-09-09 19:00:00,6,"08SAM0000_20"
"579","07LMS093027",2020-10-07 19:21:00,1,"07LMS093027_20"
"580","09LOW0751",2020-10-01 18:30:00,10,"09LOW0751_20"
"588","08WES0905",2021-07-26 22:30:00,0,"08WES0905_21"
"589","07RAG004615",2021-08-09 17:00:00,3,"07RAG004615_21"
"590","07PAT166087",2021-08-09 20:00:00,1,"07PAT166087_21"
"593","07TKL072439",2021-07-20 19:30:00,10,"07TKL072439_21"
