SITE_ID,SAMPLE_NUMBER,SampleID,Sand (A),Very Fine Gravel (B),Very Fine Gravel (C),Fine Gravel (D),Fine Gravel (E),Medium Gravel (F),Medium Gravel (G),Course Gravel (H),Course Gravel (I),Very Course Gravel (J),Very Course Gravel (K),Small Cobble (L),Medium Cobble (M),Large Cobble (N),Very Large Cobble (O),Small Boulder (P),Medium Boulder (Q),Large Boulder (R)
08SAM3045,08SAM3045_14,1838,21,2,4,6,7,15,22,14,8,8,6,3,1,0,0,0,0,0
08LIT2682,08LIT2682_14,1839,77,0,1,0,8,11,9,14,4,3,0,0,0,0,0,0,0,0
09COV1165,09COV1165_14,1840,3,1,1,5,3,7,6,7,19,13,21,24,16,6,6,8,0,0
09NEW2151,09NEW2151_14,1841,12,0,0,1,1,4,6,14,15,17,12,17,6,2,0,1,0,0
09COV1418,09COV1418_14,1843,5,0,0,2,2,5,4,22,27,40,23,12,1,0,0,0,0,0
08EVA3637,08EVA3637_14,1845,15,2,2,11,8,12,17,19,12,10,4,0,0,0,0,0,0,0
09MID1817,09MID1817_14,1846,7,0,1,1,3,2,8,17,13,17,25,11,7,4,2,2,0,0
09MID1374,09MID1374_14,1847,4,0,0,1,6,10,16,20,25,16,10,1,2,1,0,0,1,0
08ISS4730,08ISS4730_14,1848,6,1,5,2,5,9,15,20,14,15,11,6,3,3,2,0,0,0
08ISS3877,08ISS3877_14,1849,5,1,2,6,10,4,19,38,26,12,3,0,0,0,0,0,0,0
09SOO1283,09SOO1283_14,1850,2,1,1,1,4,12,17,27,24,8,2,2,5,8,4,1,0,0
07RAG022147,07RAG022147_14,1854,2,0,0,3,3,5,12,12,11,7,12,8,5,3,11,13,2,0
07RAG012515,07RAG012515_14,1855,2,0,0,2,6,3,11,10,10,6,11,12,9,6,5,7,2,0
07RAG016851,07RAG016851_14,1856,9,2,2,1,4,4,67,6,4,5,10,7,13,12,11,7,3,0
07RAG018227,07RAG018227_14,1857,2,0,1,0,2,1,1,6,14,25,28,18,19,3,4,1,0,0
07RAG002867,07RAG002867_14,1858,4,1,3,2,7,11,18,18,11,10,8,8,7,4,2,0,0,0
07SFS011475,07SFS011475_14,1859,8,1,3,3,6,4,11,9,16,14,26,14,8,8,8,1,0,0
07LMS016051,07LMS016051_14,1860,1,0,0,0,1,0,4,8,12,20,22,29,13,0,0,0,0,0
07PAT001415,07PAT001415_14,1861,3,0,1,6,6,12,18,21,21,10,8,3,2,1,0,0,0,0
07SFS011059,07SFS011059_14,1862,1,0,2,1,1,0,4,5,17,27,16,12,19,5,0,0,0,0
08CED4975,08CED4975_14,1863,10,1,6,4,16,11,10,20,15,13,4,1,1,0,0,0,0,0
08CED5046,08CED5046_14,1864,1,0,0,1,2,1,3,6,9,21,19,12,14,19,6,6,1,0
08CED5032,08CED5032_14,1865,6,2,2,7,8,8,20,21,16,11,5,2,0,1,0,0,0,0
08BEA3312,08BEA3312_14,1866,0,2,2,1,3,8,7,23,28,19,8,6,3,1,0,0,0,0
08BEA3474,08BEA3474_14,1868,3,9,3,0,0,0,3,2,7,12,14,28,23,5,1,6,0,0
08BEA3478,08BEA3478_14,1870,16,7,14,17,24,19,15,10,5,0,0,0,0,0,0,0,0,0
08BEA3571,08BEA3571_14,1871,5,5,5,13,7,6,18,13,18,8,6,6,4,3,0,0,0,0
08BEA3650,08BEA3650_14,1872,4,4,2,7,6,4,6,7,7,7,21,36,19,0,2,4,0,0
08BEA3737,08BEA3737_14,1873,2,4,5,7,12,28,24,24,17,5,1,0,0,0,0,0,0,0
08BEA3747,08BEA3747_14,1874,8,7,3,3,12,11,9,16,12,17,5,4,0,0,1,0,0,0
08BEA3826,08BEA3826_14,1875,2,2,5,9,13,11,12,13,8,21,10,4,4,2,1,0,0,0
08ISS4735,08ISS4735_14,1876,1,6,3,8,10,8,17,21,19,9,5,4,5,0,0,0,0,0
08LAK2827,08LAK2827_14,1877,7,8,8,9,16,16,19,21,17,3,4,2,1,0,0,1,0,0
08LAK3121,08LAK3121_14,1878,8,7,3,5,3,7,15,16,17,30,6,4,3,1,0,0,0,0
08LAK3540,08LAK3540_14,1879,2,0,3,2,4,9,11,19,20,19,18,4,3,1,0,0,0,0
08LAK3616,08LAK3616_14,1880,20,5,3,3,3,15,17,16,13,10,3,0,0,0,0,0,0,0
08LAK3627,08LAK3627_14,1881,7,5,5,13,16,13,12,18,19,8,5,0,0,0,0,0,0,0
08LAK3628,08LAK3628_14,1882,16,2,4,6,5,3,16,18,17,10,7,7,5,0,1,2,0,0
08LAK3699,08LAK3699_14,1883,8,3,2,2,3,18,17,13,31,13,3,1,1,0,0,1,0,0
08LAK3879,08LAK3879_14,1884,13,6,0,2,7,11,10,8,23,10,19,18,22,14,6,6,0,0
08LAK3880,08LAK3880_14,1885,4,2,3,2,7,6,13,16,26,25,13,4,1,0,0,0,0,0
08BEA3321,08BEA3321_14,1886,18,11,5,9,7,11,9,12,7,15,10,2,1,0,0,1,0,0
NPDESBP8,NPDES_BP8_14,1888,5,1,1,5,3,7,18,15,22,23,14,5,2,1,1,0,0,0
MontRed94,MontRed94_14,1889,12,0,1,2,5,7,9,21,28,9,5,3,2,0,0,0,0,0
WAM06600_01711,WAM06600_017111_14,1890,14,0,1,6,11,20,24,20,17,16,3,0,0,0,0,0,0,0
WAM06600_076119,WAM06600_076119_14,1891,15,0,0,4,6,10,12,24,20,8,2,0,0,0,0,0,0,0
NPDESBP1,NPDES_BP1_14,1893,12,0,0,4,9,19,33,23,14,0,0,0,0,0,0,0,0,0
BSE_1_MudMtnRd,BSE_1_MudMtnRd_14,1899,2,0,0,0,3,8,9,19,27,18,11,7,3,1,2,0,0,0
BSE_8_268thAveSE,BSE_8_268thAveSE_14,1898,5,0,2,2,3,5,13,18,34,30,16,5,0,0,0,0,0,0
